k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
10,2,SAFARI,High,125,0.85,254684,425,254684,174,48,85239,86,258,0.9994741344802958,0.9976535844533322,0.9984351461503428,0.9985630296745154,0.9978498976281408,254684,134,85497,599
10,2,vg giraffe,High,125,0.8,239491,393,239491,251,32,80265,83,247,0.999520045407878,0.9973181751931205,0.9985736787924641,0.9984178963232243,0.9976337596099288,239491,115,80512,644
10,2,SAFARI,High,125,0.8,239574,394,239574,167,45,80252,83,247,0.9994660036211629,0.9976638141045662,0.998412442482047,0.9985640957241729,0.9978519899489341,239574,128,80499,561
10,2,vg giraffe,High,125,0.95,284395,466,284395,303,38,95177,93,286,0.9995395851345747,0.9973033061676789,0.9986296211059271,0.9984201934385367,0.9976362939189721,284395,131,95463,769
10,2,SAFARI,High,125,0.95,284502,467,284502,195,55,95160,94,285,0.9994765519882242,0.9976785288465585,0.998441324769337,0.9985767310442862,0.9978700381869849,284502,149,95445,662
10,2,vg giraffe,High,125,0.9,269425,450,269425,288,36,90199,88,272,0.9995399723241415,0.9972683157945389,0.9986312710414482,0.9984028518913791,0.9976105865982182,269425,124,90471,738
10,2,SAFARI,High,125,0.9,269527,451,269527,185,51,90184,89,271,0.9994808411856104,0.9976458656440741,0.998454660853248,0.998562510419947,0.9978489735501361,269527,140,90455,636
10,2,vg giraffe,Mid,125,0.15,44837,61,44837,0,8,14948,24,36,0.9992868127214781,0.9986413648714865,0.9978689397975493,0.9989639845377476,0.9984477751443736,44837,32,14984,61
10,2,SAFARI,Mid,125,0.15,44837,61,44837,0,8,14948,24,36,0.9992868127214781,0.9986413648714865,0.9978689397975493,0.9989639845377476,0.9984477751443736,44837,32,14984,61
10,2,vg giraffe,Mid,125,0.1,29881,44,29881,0,4,10010,17,19,0.9992977058390743,0.9985296574770259,0.997910447761194,0.9989135340230999,0.9983739837398374,29881,21,10029,44
